noise,sine_1,sine_2,combined
-0.545357435,0.06279052,0.03141572,0.094206239
0.151303276,0.125333234,0.062830199,0.188163433
0.825298979,0.187381315,0.094242199,0.281623513
-0.486808176,0.248689887,0.125650477,0.374340364
0.334806772,0.309016994,0.157053795,0.46607079
-0.838482605,0.368124553,0.188450913,0.556575466
0.546954371,0.425779292,0.219840592,0.645619883
-0.785002294,0.481753674,0.251221591,0.732975265
0.661471753,0.535826795,0.282592672,0.818419467
-0.22028597,0.587785252,0.313952598,0.90173785
-0.47596249,0.63742399,0.345300129,0.982724118
0.665311351,0.684547106,0.376634028,1.061181134
-0.869731534,0.728968627,0.407953058,1.136921685
0.215065412,0.770513243,0.439255983,1.209769226
0.010452531,0.809016994,0.470541567,1.279558561
-0.205974017,0.844327926,0.501808574,1.3461365
-0.863225319,0.87630668,0.533055771,1.409362451
-0.603773584,0.904827052,0.564281924,1.469108977
0.844793686,0.929776486,0.5954858,1.525262286
0.359830225,0.951056516,0.626666168,1.577722684
-0.572397031,0.968583161,0.657821795,1.626404957
-0.981750136,0.982287251,0.688951453,1.671238704
0.565006823,0.992114701,0.720053913,1.712168614
-0.137826571,0.998026728,0.751127946,1.749154674
-0.15683816,1,0.782172325,1.782172325
0.272925182,0.998026728,0.813185826,1.811212554
-0.719953943,0.992114701,0.844167224,1.836281925
-0.63511747,0.982287251,0.875115295,1.857402546
-0.792494355,0.968583161,0.906028818,1.874611979
0.954305819,0.951056516,0.936906573,1.887963089
-0.403813115,0.929776486,0.96774734,1.897523826
-0.33746775,0.904827052,0.998549903,1.903376955
0.907879812,0.87630668,1.029313044,1.905619724
0.331051797,0.844327926,1.06003555,1.904363475
0.17931909,0.809016994,1.090716207,1.899733201
-0.639117436,0.770513243,1.121353805,1.891867048
0.847394361,0.728968627,1.151947133,1.880915761
-0.94588364,0.684547106,1.182494985,1.867042091
0.063601383,0.63742399,1.212996154,1.850420144
-0.321074441,0.587785252,1.243449436,1.831234688
0.34837002,0.535826795,1.273853628,1.809680423
-0.388727651,0.481753674,1.304207531,1.785961206
0.280925582,0.425779292,1.334509947,1.760289238
-0.743653458,0.368124553,1.364759678,1.73288423
0.605796162,0.309016994,1.39495553,1.703972525
0.064571236,0.248689887,1.425096312,1.6737862
0.728563037,0.187381315,1.455180834,1.642562149
-0.399551913,0.125333234,1.485207908,1.610541141
0.673550341,0.06279052,1.515176348,1.577966868
0.573966272,-3.21574E-16,1.545084972,1.545084972
-0.272787183,-0.06279052,1.574932598,1.512142079
-0.097359635,-0.125333234,1.604718049,1.479384815
-0.029915012,-0.187381315,1.634440148,1.447058834
-0.01530805,-0.248689887,1.664097723,1.415407835
0.631739761,-0.309016994,1.693689601,1.384672607
-0.879559757,-0.368124553,1.723214616,1.355090063
0.370122943,-0.425779292,1.752671601,1.326892309
0.375619397,-0.481753674,1.782059394,1.300305719
-0.093340784,-0.535826795,1.811376834,1.275550039
0.622373966,-0.587785252,1.840622763,1.252837511
-0.607428629,-0.63742399,1.869796029,1.232372039
0.151011837,-0.684547106,1.898895478,1.214348372
-0.612256426,-0.728968627,1.927919961,1.198951334
0.340774591,-0.770513243,1.956868334,1.186355091
0.448244091,-0.809016994,1.985739453,1.176722459
-0.776381103,-0.844327926,2.014532179,1.170204253
-0.173564837,-0.87630668,2.043245374,1.166938694
0.201504096,-0.904827052,2.071877905,1.167050853
-0.728282441,-0.929776486,2.100428642,1.170652156
0.125456068,-0.951056516,2.128896458,1.177839942
-0.068464043,-0.968583161,2.157280228,1.188697067
-0.549638974,-0.982287251,2.185578833,1.203291583
-0.95258165,-0.992114701,2.213791155,1.221676454
0.203444758,-0.998026728,2.24191608,1.243889352
-0.828421938,-1,2.269952499,1.269952499
-0.190152456,-0.998026728,2.297899303,1.299872575
0.271553955,-0.992114701,2.32575539,1.333640689
-0.097560052,-0.982287251,2.353519661,1.37123241
-0.219813308,-0.968583161,2.381191018,1.412607857
-0.031336037,-0.951056516,2.408768371,1.457711854
-0.176496618,-0.929776486,2.436250629,1.506474143
0.66663393,-0.904827052,2.463636708,1.558809655
0.429190151,-0.87630668,2.490925527,1.614618847
-0.332012525,-0.844327926,2.518116008,1.673788083
0.998736301,-0.809016994,2.545207079,1.736190084
-0.931311522,-0.770513243,2.572197669,1.801684426
-0.378371948,-0.728968627,2.599086713,1.870118086
0.606042101,-0.684547106,2.62587315,1.941326044
0.978139789,-0.63742399,2.652555922,2.015131932
